"seller","day_of_week","floor"
Abraham Bennet,Sunday   ,10446275
Abraham Bennet,Sunday   ,23145398
Abraham Bennet,Sunday   ,20147122
Abraham Bennet,Sunday   ,21347937
Abraham Bennet,Sunday   ,21066885
Abraham Bennet,Sunday   ,16587824
Abraham Bennet,Sunday   ,15311395
Abraham Bennet,Sunday   ,15079772
Abraham Bennet,Sunday   ,16908574
Abraham Bennet,Sunday   ,16683061
Abraham Bennet,Sunday   ,19788389
Abraham Bennet,Sunday   ,11139121
Abraham Bennet,Sunday   ,12096793
Abraham Bennet,Sunday   ,12580195
Albert Ringer,Sunday   ,20192636
Albert Ringer,Sunday   ,20860615
Albert Ringer,Sunday   ,26545905
Albert Ringer,Sunday   ,24169694
Albert Ringer,Sunday   ,28737232
Albert Ringer,Sunday   ,26001204
Albert Ringer,Sunday   ,22224893
Albert Ringer,Sunday   ,26172998
Albert Ringer,Sunday   ,31030883
Albert Ringer,Sunday   ,19176578
Albert Ringer,Sunday   ,36161874
Albert Ringer,Sunday   ,29064581
Albert Ringer,Sunday   ,28183503
Albert Ringer,Sunday   ,24462883
Ann Dull,Sunday   ,2677479
Ann Dull,Sunday   ,2255828
Ann Dull,Sunday   ,2651216
Ann Dull,Sunday   ,2519706
Ann Dull,Sunday   ,2048141
Ann Dull,Sunday   ,2030766
Ann Dull,Sunday   ,2426778
Ann Dull,Sunday   ,3293160
Ann Dull,Sunday   ,2634777
Ann Dull,Sunday   ,1844599
Ann Dull,Sunday   ,2152426
Ann Dull,Sunday   ,1987467
Ann Dull,Sunday   ,2916030
Ann Dull,Sunday   ,2699908
Anne Ringer,Sunday   ,2745479
Anne Ringer,Sunday   ,3591135
Anne Ringer,Sunday   ,3551313
Anne Ringer,Sunday   ,3107007
Anne Ringer,Sunday   ,3919110
Anne Ringer,Sunday   ,4360282
Anne Ringer,Sunday   ,5533914
Anne Ringer,Sunday   ,3670778
Anne Ringer,Sunday   ,3839467
Anne Ringer,Sunday   ,2420638
Anne Ringer,Sunday   ,3796511
Anne Ringer,Sunday   ,2665836
Anne Ringer,Sunday   ,3309250
Anne Ringer,Sunday   ,2540102
Burt Gringlesby,Sunday   ,5524836
