"seller","average_income"
Dirk Stringer,0
Michael O'Leary,0
Reginald Blotchet-Halls,0
Michael O'Leary,0
Marjorie Green,0
Abraham Bennet,0
Abraham Bennet,1
Abraham Bennet,1
Abraham Bennet,1
Abraham Bennet,1
Livia Karsen,594
Abraham Bennet,1697
Stearns MacFeather,11011
Meander Smith,12445
Sheryl Hunter,14123
Abraham Bennet,26564
Albert Ringer,26614
Meander Smith,26941
Dean Straight,36909
Abraham Bennet,42442
Sylvia Panteley,44310
Livia Karsen,53523
Michel DeFrance,54479
Sylvia Panteley,57715
Ann Dull,60940
Ann Dull,70634
Heather McBadden,73296
Anne Ringer,77240
Johnson White,91416
Johnson White,99060
Stearns MacFeather,102124
Albert Ringer,108225
Innes del Castillo,108974
Charlene Locksley,116084
Morningstar Greene,117850
Stearns MacFeather,125144
Marjorie Green,126182
Michael O'Leary,133108
Johnson White,133139
Reginald Blotchet-Halls,136312
Cheryl Carson,141873
Stearns MacFeather,143547
Johnson White,151470
Livia Karsen,166923
Abraham Bennet,168272
Ann Dull,191663
Heather McBadden,238963
Burt Gringlesby,264067
Heather McBadden,268375
