"sale_date","customer","seller"
1992-09-21,Cristina Xu,Abraham Bennet
1992-09-21,Jacob Martinez,Michael O'Leary
1992-09-22,Jared Gray,Dirk Stringer
1992-09-21,Kaitlyn Allen,Dirk Stringer
1992-09-21,Karen Huang,Dirk Stringer
1992-09-22,Krista Gill,Marjorie Green
1992-09-21,Kristen Li,Michael O'Leary
1992-09-21,Levi Gonzalez,Marjorie Green
1992-09-21,Mario Rai,Abraham Bennet
1992-09-24,Mya Coleman,Michael O'Leary
1992-09-21,Olivia Bennett,Michael O'Leary
1992-09-21,Richard Martinez,Abraham Bennet
1992-09-22,Samuel Sharma,Michael O'Leary
1992-09-21,Tyrone Ruiz,Marjorie Green
1992-09-22,Willie Gao,Michael O'Leary
